,ANOING,SEMING,INGRESSO,INGRESSODESC,COTA,GRANDEAREA,GRANDEAREATEXTO,ETNIA,SEXO,CAMPUS,TURNO,NOMECURSO,SITUACAO,MOTIVOSAIDA,DEFICIENCIA,POSSUIDEFICIENCIA,CAMPUSSIGLA
64780,2022,2,SISU,SISU - GRUPO B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
64783,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,JORNALISMO - 84A,ATIVO,A Especificar,Não Informada,Não,JF
64784,2022,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
64786,2022,2,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
64788,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64789,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64790,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64791,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64792,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64793,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64794,2022,2,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,NUTRIÇÃO - 64A,ATIVO,A Especificar,Não Informada,Não,JF
64795,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64796,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CB,CIÊNCIAS BIOLÓGICAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS BIOLÓGICAS - 01B,ATIVO,A Especificar,Não Informada,Não,JF
64801,2022,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
64815,2022,2,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,NOTURNO,LETRAS - LIBRAS - 88A,ATIVO,A Especificar,Não Informada,Não,JF
64829,2023,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FISIOTERAPIA - 20A,ATIVO,A Especificar,Não Informada,Não,JF
64833,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
64834,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64837,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,DIREITO - 34A,ATIVO,A Especificar,Não Informada,Não,JF
64838,2025,2,SISU,SISU - GRUPO A,Grupo A,CSA,CIÊNCIAS SOCIAIS APLICADAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,DIREITO - 34A,ATIVO,A Especificar,Não Informada,Não,JF
64840,2023,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
64844,2023,2,SISU,SISU - GRUPO D,Grupo D,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ARQUITETURA E URBANISMO - 33A,ATIVO,A Especificar,Não Informada,Não,JF
64846,2023,1,SISU,SISU - GRUPO B,Grupo B,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LETRAS - 13BFR,ATIVO,A Especificar,Não Informada,Não,JF
64847,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,JORNALISMO - 84A,ATIVO,A Especificar,Não Informada,Não,JF
64851,2023,1,SISU,SISU - GRUPO E,Grupo E,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
64852,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
64853,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
64857,2023,1,SISU,SISU - GRUPO A,Grupo A,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM DESIGN - 98A,ATIVO,A Especificar,Não Informada,Não,JF
64862,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Física,Sim,JF
64863,2023,1,SISU,SISU - GRUPO B,Grupo B,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64867,2023,1,SISU,SISU - GRUPO E,Grupo E,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64868,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64869,2023,1,SISU,SISU - GRUPO E,Grupo E,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64871,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64884,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64886,2024,1,SISU,SISU - GRUPO A,Grupo A,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM MODA - 95A,ATIVO,A Especificar,Não Informada,Não,JF
64890,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64891,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64893,2023,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
64894,2023,1,SISU,SISU - GRUPO A,Grupo A,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
64895,2023,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,TURISMO - 92A,ATIVO,A Especificar,Não Informada,Não,JF
64896,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,"RÁDIO, TV E INTERNET - 91A",ATIVO,A Especificar,Não Informada,Não,JF
64898,2023,1,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ODONTOLOGIA - 16A,ATIVO,A Especificar,Não Informada,Não,JF
64899,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CINEMA E AUDIOVISUAL - 97A,ATIVO,A Especificar,Não Informada,Não,JF
64900,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64901,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,ECC,ENGENHARIAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA COMPUTAÇÃO - 35A,ATIVO,A Especificar,Não Informada,Não,JF
64902,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,ECC,ENGENHARIAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,CIÊNCIA DA COMPUTAÇÃO - 35A,ATIVO,A Especificar,Não Informada,Não,JF
64917,2023,1,SISU,SISU - GRUPO A,Grupo A,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64918,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64919,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64920,2023,1,SISU,SISU - GRUPO D,Grupo D,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64921,2023,1,SISU,SISU - GRUPO B,Grupo B,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64923,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO EM ARTES VISUAIS - 94A,ATIVO,A Especificar,Não Informada,Não,JF
64925,2025,1,SISU,SISU - GRUPO A,Grupo A,CSA,CIÊNCIAS SOCIAIS APLICADAS,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS ECONÔMICAS - 05A,ATIVO,A Especificar,Não Informada,Não,JF
64927,2023,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",PARDA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64928,2023,1,SISU,SISU - GRUPO D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
64929,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
64930,2023,1,SISU,SISU - GRUPO B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA VETERINÁRIA - 87A,ATIVO,A Especificar,Não Informada,Não,JF
64933,2023,1,SISU,SISU - GRUPO A,Grupo A,CET,CIÊNCIAS EXATAS E DA TERRA,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ESTATÍSTICA - 65D,ATIVO,A Especificar,Não Informada,Não,JF
64934,2023,1,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ESTATÍSTICA - 65D,ATIVO,A Especificar,Não Informada,Não,JF
64939,2023,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
64942,2023,2,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
64949,2023,2,SISU,SISU - GRUPO D,Grupo D,CET,CIÊNCIAS EXATAS E DA TERRA,PRETA,Feminino,JUIZ DE FORA,NOTURNO,QUÍMICA - 83A,ATIVO,A Especificar,Não Informada,Não,JF
64950,2023,2,SISU,SISU - GRUPO C,Grupo C,CET,CIÊNCIAS EXATAS E DA TERRA,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,QUÍMICA - 83A,ATIVO,A Especificar,Não Informada,Não,JF
64951,2023,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
64954,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64956,2026,1,SISU,SISU - GRUPO C,Grupo C,LLA,"LINGÜÍSTICA, LETRAS E ARTES",BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,LICENCIATURA EM ARTES VISUAIS - 96A,ATIVO,A Especificar,Não Informada,Não,JF
64958,2023,1,SISU,SISU - GRUPO D,Grupo D,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64960,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64962,2023,1,SISU,SISU - GRUPO B,Grupo B,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,CIÊNCIAS CONTÁBEIS - 77A,ATIVO,A Especificar,Não Informada,Não,JF
64965,2023,1,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,JORNALISMO - 85A,ATIVO,A Especificar,Não Informada,Não,JF
64966,2023,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
64972,2023,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64973,2023,1,SISU,SISU - GRUPO B,Grupo B,CH,CIÊNCIAS HUMANAS,OUTRA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64975,2023,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64977,2024,2,SISU,SISU - GRUPO E,Grupo E,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
64981,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
64984,2025,1,VAGA OCIOSA,Mudança de Curso,Não se aplica,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,SERVIÇO SOCIAL - 68A,ATIVO,A Especificar,Não Informada,Não,JF
64985,2023,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 72A,ATIVO,A Especificar,Não Informada,Não,JF
64987,2023,2,SISU,SISU - GRUPO C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,SERVIÇO SOCIAL - 68A,ATIVO,A Especificar,Não Informada,Não,JF
64991,2023,1,SISU,SISU - GRUPO E,Grupo E,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 72A,ATIVO,A Especificar,Não Informada,Não,JF
64996,2023,1,SISU,SISU - GRUPO C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS - 72A,ATIVO,A Especificar,Não Informada,Não,JF
64997,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,PSICOLOGIA - 32A,ATIVO,A Especificar,Não Informada,Não,JF
64998,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
64999,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
65000,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
65001,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,MEDICINA - 15A,ATIVO,A Especificar,Não Informada,Não,JF
65002,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
65003,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
65004,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CH,CIÊNCIAS HUMANAS,BRANCA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
65008,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CH,CIÊNCIAS HUMANAS,PRETA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
65010,2023,2,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CH,CIÊNCIAS HUMANAS,PARDA,Feminino,JUIZ DE FORA,NOTURNO,HISTÓRIA - 28L,ATIVO,A Especificar,Não Informada,Não,JF
65012,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65013,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo D,Grupo D,CS,CIÊNCIAS DA SAÚDE,PRETA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65015,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65020,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65021,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65022,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65023,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65024,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65027,2023,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,FARMÁCIA - 07A,ATIVO,A Especificar,Não Informada,Não,JF
65028,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CS,CIÊNCIAS DA SAÚDE,PARDA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65033,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo B,Grupo B,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,SERVIÇO SOCIAL - 19A,ATIVO,A Especificar,Não Informada,Não,JF
65034,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo A,Grupo A,CSA,CIÊNCIAS SOCIAIS APLICADAS,PARDA,Feminino,JUIZ DE FORA,MATUTINO,SERVIÇO SOCIAL - 19A,ATIVO,A Especificar,Não Informada,Não,JF
65036,2023,2,SISU,SISU - GRUPO C,Grupo C,CS,CIÊNCIAS DA SAÚDE,BRANCA,Feminino,JUIZ DE FORA,INTEGRAL,ENFERMAGEM - 23A,ATIVO,A Especificar,Não Informada,Não,JF
65037,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo C,Grupo C,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,SERVIÇO SOCIAL - 19A,ATIVO,A Especificar,Não Informada,Não,JF
65038,2023,1,PISM,Programa de Ingresso Seletivo Misto - Grupo E,Grupo E,CSA,CIÊNCIAS SOCIAIS APLICADAS,BRANCA,Feminino,JUIZ DE FORA,MATUTINO,SERVIÇO SOCIAL - 19A,ATIVO,A Especificar,Não Informada,Não,JF
